,body temperature
1,96.3
2,96.7
3,96.9
4,97
5,97.1
6,97.1
7,97.1
8,97.2
9,97.3
10,97.4
11,97.4
12,97.4
13,97.4
14,97.5
15,97.5
16,97.6
17,97.6
18,97.6
19,97.7
20,97.8
21,97.8
22,97.8
23,97.8
24,97.9
25,97.9
26,98
27,98
28,98
29,98
30,98
31,98
32,98.1
33,98.1
34,98.2
35,98.2
36,98.2
37,98.2
38,98.3
39,98.3
40,98.4
41,98.4
42,98.4
43,98.4
44,98.5
45,98.5
46,98.6
47,98.6
48,98.6
49,98.6
50,98.6
51,98.6
52,98.7
53,98.7
54,98.8
55,98.8
56,98.8
57,98.9
58,99
59,99
60,99
61,99.1
62,99.2
63,99.3
64,99.4
65,99.5
66,96.4
67,96.7
68,96.8
69,97.2
70,97.2
71,97.4
72,97.6
73,97.7
74,97.7
75,97.8
76,97.8
77,97.8
78,97.9
79,97.9
80,97.9
81,98
82,98
83,98
84,98
85,98
86,98.1
87,98.2
88,98.2
89,98.2
90,98.2
91,98.2
92,98.2
93,98.3
94,98.3
95,98.3
96,98.4
97,98.4
98,98.4
99,98.4
100,98.4
101,98.5
102,98.6
103,98.6
104,98.6
105,98.6
106,98.7
107,98.7
108,98.7
109,98.7
110,98.7
111,98.7
112,98.8
113,98.8
114,98.8
115,98.8
116,98.8
117,98.8
118,98.8
119,98.9
120,99
121,99
122,99.1
123,99.1
124,99.2
125,99.2
126,99.3
127,99.4
128,99.9
129,100
130,100.8
